"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Caribbean small states","CSS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.433723449707","92.4734878540039","92.712287902832","92.9490432739258","93.1980590820313","93.5276107788086","93.8828506469727","94.1988983154297","94.5212173461914","94.7308883666992","94.9086837768555","95.0826873779297","95.2820816040039","95.3227233886719","95.771858215332","95.8772277832031","95.9742584228516","95.9872436523438","96.0988616943359","96.1205215454102","96.5512390136719","96.6572875976563","96.7181930541992","96.8258285522461","96.922248840332","97.0153579711914","97.1063537597656","97.1949691772461","",
"Cuba","CUB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","99.5685729980469","","","","","","","","","","","","","","","","","","","","","99.9555969238281","","","","","","","","","","99.8746490478516","","","","","","","96.5","","99.8746490478516",
"Curacao","CUW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9068222045898","","","","","","","","","","98.9068222045898","","","","98.9068222045898",
"Cyprus","CYP","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6213912963867","","","","","","","","","99.7749328613281","","","","","","","","","","99.8209915161133","","","","","","","","","","99.9000015258789",
"Czechia","CZE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","82.6241989135742","","","","","","","","","","","","","","","","","","","","","94.2175674438477","","","","","95.7868576049805","","","96.8057479858398","97.0420532226563","97.0238876342773","97.4724273681641","97.6885299682617","97.6140594482422","98.8394088745117","","","","","98.9400024414063",
"Algeria","DZA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3272705078125","","","","","","","","","","","","","","","90.13720703125","","","","91.7796401977539","","93.7673263549805","","","","","","","","","","97.4265213012695","74.0299987792969","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","83.4259796142578","83.5621490478516","84.7837600708008","85.9903030395508","87.1340484619141","88.1446304321289","89.1353378295898","89.6986389160156","90.3839492797852","90.9973526000977","91.5134811401367","92.7309799194336","94.0296783447266","94.1814422607422","94.3189697265625","94.5009689331055","94.6728134155273","94.8222579956055","95.0667724609375","95.3180923461914","95.5228881835938","97.7281723022461","97.8011627197266","97.8524780273438","97.8695907592773","97.9301071166992","98.0148010253906","98.1478118896484","98.2404708862305","98.3205718994141","98.1210098266602","98.5040283203125","98.8783111572266","98.8427124023438","98.8267822265625","98.4094161987305","98.4410095214844","98.4653015136719","98.6565780639648","98.7219696044922","98.7501602172852","98.7810287475586","98.7296524047852","99.0994186401367","99.1357116699219","",
"Early-demographic dividend","EAR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","61.0270385742188","61.2375602722168","61.9274597167969","62.5768394470215","63.1963081359863","63.6879692077637","64.0940399169922","64.7015533447266","65.2522811889648","65.9077301025391","66.476448059082","67.0750732421875","68.273567199707","68.873908996582","69.8249893188477","70.8733825683594","71.6797180175781","72.8042831420898","73.6371917724609","74.5122299194336","75.4265975952148","76.1944580078125","76.8423614501953","78.8838272094727","79.6470108032227","80.3165893554688","80.9263534545898","81.885498046875","82.7074508666992","83.5756912231445","84.0220108032227","84.4138412475586","84.8477401733398","86.6944274902344","87.3070373535156","87.4943923950195","87.7159118652344","88.358528137207","89.1934585571289","89.8601684570313","90.5008087158203","91.0041427612305","91.3215408325195","91.3867721557617","91.9920425415039","92.2801818847656","",
"East Asia & Pacific","EAS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","84.2587890625","84.3968811035156","85.5143890380859","86.611930847168","87.6455383300781","88.5631866455078","89.4619674682617","89.9734573364258","90.5994720458984","91.1626892089844","91.6331024169922","92.7868804931641","93.9960632324219","94.1383209228516","94.268440246582","94.4423828125","94.6039199829102","94.7434005737305","94.9840316772461","95.2493515014648","95.4675521850586","97.4983673095703","97.5718078613281","97.6509475708008","97.6784515380859","97.7371368408203","97.8281402587891","97.9773406982422","98.0829467773438","98.1684799194336","97.9889068603516","98.3638381958008","98.7289733886719","98.6951217651367","98.6489028930664","98.234016418457","98.2704010009766","98.2986297607422","98.5272827148438","98.595703125","98.6272811889648","98.6605834960938","98.6153030395508","98.9881973266602","99.0265808105469","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","97.6324920654297","98.2234573364258","98.2419815063477","98.2389907836914","98.2617416381836","98.293083190918","98.2892532348633","98.3343887329102","98.3496932983398","98.3922882080078","98.4383697509766","98.4833221435547","98.5270614624023","98.5756072998047","98.6139526367188","98.6837463378906","98.7191772460938","98.8628692626953","98.9001617431641","98.9288024902344","98.9319305419922","98.8952484130859","99.0264892578125","99.0284118652344","99.0602722167969","99.1081924438477","99.3641586303711","99.4457015991211","99.5378723144531","99.5895462036133","99.6306381225586","99.6544799804688","99.6800994873047","99.7357330322266","99.7722778320313","99.7923889160156","99.814079284668","99.8233795166016","",
"Europe & Central Asia","ECS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9449996948242","98.9592208862305","98.8460006713867","98.8729629516602","98.8989715576172","98.9154434204102","98.9345397949219","98.9580993652344","98.9519119262695","98.946403503418","99.0063705444336","99.0352020263672","99.0889587402344","99.100212097168","99.0902862548828","99.1634674072266","99.176887512207","99.2000579833984","99.2266006469727","99.4045791625977","99.4591293334961","99.5218200683594","99.5532684326172","99.5806503295898","99.6030197143555","99.6160583496094","99.6464996337891","99.669563293457","99.6813888549805","99.6989517211914","99.6981887817383","",
"Ecuador","ECU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","93.4014587402344","","","","","","","","96.194709777832","","","","","","","","","","","96.4372100830078","","","","","","98.3914184570313","98.4537506103516","98.800651550293","98.6527099609375","98.6948394775391","98.8316268920898","98.6046371459961","99.097770690918","99.1261978149414","99.0571136474609","99.2550506591797","","","98.7670364379883","99.0050506591797",
"Egypt, Arab Rep.","EGY","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","51.0311584472656","","","","","","","","","","63.3276214599609","","","","","","","","","","73.2186889648438","","","","","","","","","84.8534164428711","84.8782730102539","","","","87.5096435546875","","89.2819213867188","92.0234222412109","94.0800018310547","5.19000005722046","","88.1925582885742","","","","91.5100021362305",
"Euro area","EMU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.9452896118164","","","","","","86.9749069213867","","","","","","","","","","93.2723922729492","","","",
"Spain","ESP","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","98.6419525146484","","","","","","","","","","99.554557800293","","","","","","","","","","","","","99.5581970214844","99.5377883911133","99.5953063964844","99.5693435668945","99.5643081665039","99.5989990234375","99.5946273803711","99.6994018554688","99.6727828979492","99.6692581176758","99.7227630615234","99.6556777954102","99.6221618652344","","99.7155532836914","","99.6214218139648","",
